,Model,Train AUC Scores,Test AUC,Test Recall (1),Test Recall (0),Confusion Matrix
0,LR Application Dataset,[0.91 0.93 0.93 0.91 0.88 0.91 0.91 0.92 0.92 0.9 ],0.9149395779299506,0.9099728427369836,0.774380051129391,"[[ 386816  112701]
 [ 308994 3123237]]"
0,Full RF - Accepts Only,[0.7  0.71 0.7  0.69 0.69 0.67 0.7  0.69 0.68 0.66],0.6172612217236939,0.5686199607813176,0.6659024826660702,"[[71454 35850]
 [16939 22328]]"
0,Reduced RF - Accepts Only,[0.61 0.61 0.6  0.59 0.61 0.6  0.63 0.6  0.59 0.59],0.5825866573170755,0.6243919830901266,0.5407813315440244,"[[58028 49276]
 [14749 24518]]"
0,Reduced RF - Simple Assignment,[0.84 0.97 0.97 0.97 0.93 0.96 0.97 0.96 0.97 0.95],0.5031818604187219,0.09356457075916164,0.9127991500782823,"[[97947  9357]
 [35593  3674]]"
0,Reduced RF - Random Assignment,[0.79 0.96 0.68 0.44 0.46 0.48 0.48 0.47 0.47 0.49],0.5825866573170755,0.6243919830901266,0.5407813315440244,"[[58028 49276]
 [14749 24518]]"
0,Full RF - Augmentation,[0.7  0.7  0.7  0.69 0.68 0.68 0.7  0.69 0.68 0.66],0.6224020297909766,0.7446456311915858,0.5001584283903675,"[[53669 53635]
 [10027 29240]]"
0,Reduced RF - Augmentation,[0.61 0.61 0.6  0.6  0.58 0.63 0.63 0.61 0.59 0.6 ],0.5790579494174838,0.6924389436422441,0.46567695519272345,"[[49969 57335]
 [12077 27190]]"
0,Reduced RF - Parcelling,[0.75 0.86 0.46 0.01 0.06 0.04 0.43 0.35 0.37 0.52],0.5063527201415503,0.06674816003259734,0.9459572802505033,"[[101505   5799]
 [ 36646   2621]]"
0,Reduced RF - Extrapolation,[0.52 0.93 0.97 0.97 0.94 0.97 0.97 0.97 0.97 0.95],0.49888430850399557,0.9109684977207324,0.08680011928725863,"[[ 9314 97990]
 [ 3496 35771]]"
0,Reduced RF - Fuzzy Augmentation,[0.66 0.47 0.46 0.46 0.48 0.48 0.49 0.49 0.5  0.5 ],0.5050170798753177,0.10443884177553671,0.9055953179750987,"[[97174 10130]
 [35166  4101]]"
